run,profile,board,layout,optimization,qspi_sha256,device_fingerprint,family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,empty_callback,2,13,0.00,0.00,ea306fb5
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,mod_plane_2x_center,79027,82479,8.23,8.59,5af19015
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_1_voice,54555,55451,5.68,5.77,1816acc1
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_2_voices,94556,96177,9.84,10.01,4dc805b7
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_4_voices,169977,172346,17.70,17.95,2292dae2
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_2x4,340740,345541,35.49,35.99,0d15b5eb
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,wave_2x4,313969,318527,32.70,33.17,6f28f4ea
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_none,24414,24481,2.54,2.55,b538ce01
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_grit,53030,53116,5.52,5.53,74f9b9f5
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_flux_sdram,100304,104571,10.44,10.89,9ca91007
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_comp,31362,31454,3.26,3.27,47a4392b
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,oliverb_solo_sram,99314,100173,10.34,10.43,82d044c4
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,instrument_init,666899,691837,69.46,72.06,3bbafe55
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,instrument_worst,945134,989805,98.45,103.10,851c7d43
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,inst_worst_deck_bus,750788,795105,78.20,82.82,6f9b841c
1,system,seed,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,instrument_worst_bbd,936026,984145,97.50,102.51,07fb14fc
